|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_ETP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP|etp_total
U959-1|||1|1|||3|4|3|3|0|0|0|0|0,8|2|2,5|7|1,25|4|||1|1|4,5|7|0|0|0,5|1|||17,55
U960-1|||1|1|||1|1|2|2|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||4
U960-2|||1|1|||2|2|2|2|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||5
U960-3|||1|1|||2|2|3|3|0|0|0|0|||0|0|0|0|||||2|2|0|0|1|1|||9
U960-4|2|2|||||3|3|4|4|0|0|0|0|||0|0|0|0|||||0|0|0|0|1|1|||10
U960-5|||2|2|||1|1|5|5|0|0|0|0|||0|0|0|0|||||0|0|0|0|1|1|||9
U960-6|1|1|||||1|1|5|5|0|0|0|0|||0|0|1|1|||||1|1|0|0|0|0|||9
U960-7|||||||0|0|0|0|0|0|2|2|||0|0|0|0|||||1,5|2|0|0|0|0|||3,5
U960-8|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U965-1|||1|1|||0|0|6|6|0|0|1|1|0,25|1|6,4|14|10,6|12|||||1|1|0|0|0|0|||26,25
U967-1|||||||1|1|3|3|0|0|0|0|1,5|3|0,3|1|2|3|||||3|3|0|0|0|0|||10,8
U967-11|||||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||1
U967-2|2|2|||||1|1|3|3|0|0|0|0|1|2|0|0|1|1|||||1|1|1|1|0|0|||10
U967-3|||||||0|0|3|3|0|0|0|0|||0|0|5|5|||||2|2|0|0|1|1|||11
U967-4|2|2|||||1|1|2|2|0|0|1|1|0,5|1|0|0|7|7|||||1|1|0|0|0|0|||14,5
U967-5|||||||0|0|3|3|0|0|1|1|||0|0|3|3|||||1|1|0|0|0|0|||8
U967-6|||||||0|0|2|2|1|1|1|1|||0|0|2|2|||||0|0|0|0|0|0|||6
U967-7|||||||0|0|1|1|0|0|0|0|||0|0|1|1|||||1|1|0|0|1|1|||4
U967-8|||||||0|0|1|1|0|0|0|0|||0|0|3|3|||||3|3|0|0|1|1|||8
U967-9|||||||0|0|2|2|0|0|0|0|||0|0|7|7|||||1|1|0|0|0|0|||10
U968-1|1|1|1,2|2|||1|1|3|3|1|1|0|0|0,5|1|0,5|2|0|0|||2|2|2|2|0|0|0|0|||12,2
U968-10|1|1|||||1|1|3|3|0|0|0|0|||0|0|0|0|||||5|5|0|0|1|1|||11
U968-11|||1|1|||2|2|1|1|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||6
U968-12|1|1|||||0|0|3|3|0|0|0|0|0,5|1|0|0|0|0|||1|1|1|1|0|0|0|0|||6,5
U968-13|||||||0|0|0|0|0|0|0|0|||0,5|1|0|0|||||0|0|0|0|0|0|||0,5
U968-14|0,95|1|||||0|0|0|0|0|0|0|0|||0,5|1|1|1|1|1|||4|4|0|0|1|1|||8,45
U968-15|||1|1|||1|1|0|0|0|0|0|0|||0|0|0|0|||||3|3|0|0|0|0|||5
U968-2|1|1|||||3|3|2|2|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||8
U968-3|1|1|1|1|||1|1|0|0|0|0|0|0|0,5|1|1,45|3|0|0|||||0|0|0|0|0|0|||4,95
