code|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_PP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP
CIC1436|||||||0|0|0|0|0|0|0|0|||4,1|16|29,6|33|||||14,1|21|0|0|2|2||
IFR25|||||1|1|0|0|0|0|0|0|0|0|0,75|2|0,3|1|1|1|||||0|0|0|0|0|0||
U1000|3,3|4|||||0,2|1|3|3|0|0|1|1|||0,35|2|3,15|4|||1|1|0,7|1|0|0|2|2||
U1001|2|2|1|1|||3|3|5|5|0|0|1|1|||0,3|1|0|0|2|2|||7,6|8|0|0|0|0||
U1003|3|3|||||0|0|5|5|0|0|0|0|4|7|0,6|2|0|0|1|1|||3|3|0|0|0|0||
U1007|1|1|2|2|||2|2|2,5|3|0|0|0|0|0,5|1|1,15|5|0|0|||||4|4|0|0|0|0||
U1008|||||||0|0|16|16|0|0|0|0|4|8|2,1|5|1|2|||1|1|3|4|0|0|0|0||
U1011|3|3|1|1|||7|7|13,5|14|0|0|6|6|7,4|15|7,6|18|3,2|5|2|2|1|1|18,75|23|1|1|5|5||
U1015|||||||1|1|0|0|2|2|1|1|||0,65|2|0|0|||||2,5|3|0|0|0|0||
U1016|46,7|47|43,3|44|||16|16|69|69|0|0|25|25|3,5|7|20,1|61|2,5|4|4|4|4|4|53,55|55|0|0|27|28||
U1018|19,2|20|||1,2|3|7|7|40,5|42|1,4|2|7,2|8|1,8|6|16,45|39|17,1|24|5|5|||35,8|36|6|6|29,5|30|1|1
U1019|17,3|18|14,6|15|2|2|10|10|17|17|0|0|5|5|4,35|9|3,7|16|1|1|2,9|3|3|3|29,5|30|1|1|5|5||
U1021|5,7|6|6|6|||5|5|16|16|0|0|4|4|2,5|5|1,7|4|2,2|5|||2|2|7|7|1|1|3|3||
U1022|||7,5|8|||0|0|14|14|0|0|0|0|11|22|1,1|4|1,5|4|||||5,3|6|0|0|1|1||
U1023|1,8|2|1|1|1|1|2|2|7|7|0|0|0,3|1|||1|4|12,1|14|1|1|1|1|13,2|16|1|1|1|1||
U1024|22|22|28|28|1|1|17|17|43,5|44|0|0|27|27|6,5|14|0|0|0,5|3|1|1|2|2|13,6|14|5|5|16|16||
U1026|4|4|2|2|||0|0|9|9|0|0|0|0|1,5|3|4,5|13|3,3|4|1|1|1|1|6,4|8|3|3|0|0|0,4|1
U1027|4|4|||||7,5|8|21|21|1|2|3,6|5|1,5|4|14,15|49|8,9|14|||2|3|7,2|9|1|1|2|2||
U1028|22,8|23|37,6|38|||7|7|53,5|54|4|4|11|11|8,5|17|21,65|59|6,65|12|4,8|5|11,8|13|49,6|54|1|1|19,5|20||
U1029|4|4|||||2|2|2|2|0|0|4|4|3|5|1,3|5|0|0|||1|1|4|4|0|0|3|3||
U1030|1|1|1|1|||3|3|5|5|0|0|2,5|3|0,5|1|2,4|8|2|2|||||5|5|0|0|0|0||
U1031|2|2|4|4|||2|2|4|4|0|0|0|0|2,5|5|0,6|2|4,1|5|1|1|0,8|1|8,1|9|0|0|2|2||
U1032|6|6|1|1|||1|1|14|14|0|0|2|2|1,5|3|3,05|12|3,35|5|1|1|||6,65|7|0|0|1|1||
U1033|6|6|3|3|||1|1|5|5|0|0|0|0|0,5|1|4|14|2,3|5|1,9|2|||13,6|14|0|0|0|0||
U1034|3|3|||||0|0|2|2|0|0|0|0|3|6|2,75|13|0,1|1|||||4,65|6|0|0|2|2||
U1035|3|3|1|1|||1|1|7|7|1|1|0|0|5,5|11|15|28|3|5|||||13,7|14|0|0|1|1||
U1036|6|6|3|3|1|1|2|2|9|9|0|0|0|0|1,5|3|1,2|4|3|4|1|1|||7,7|8|0|0|2|2||
U1037|24,9|25|13|13|||4|4|41|41|0|0|16|16|9|18|18,9|54|6,6|11|1|1|1|1|32,1|36|2|2|19|19||
U1038|1|1|4|4|||2|2|3|3|0|0|1|1|||0|0|14,6|15|2,8|3|1|1|25,4|26|0|0|5|5||
